time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/n_updates,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/std,train/learning_rate,train/clip_fraction
268288,581.6238038600001,450,242.0,594,131,1300,0.18963273,0.00023036666570988018,0.2,0.9811733365058899,-0.12207115441560745,0.6125730730593204,-0.08913281999411993,0.20607388019561768,0.0003,0.612890625
270336,582.6062282400001,451,242.0,598,132,1310,0.20948768,0.00020793983308067254,0.2,0.9856869578361511,-0.13148334622383118,0.6727459002286196,-0.08565375362231861,0.20442980527877808,0.0003,0.6203125
272384,583.9789626200001,452,242.0,602,133,1320,0.18703365,0.00017920836271514417,0.2,0.9857056140899658,-0.1073293536901474,0.7185566632077098,-0.08387193231319542,0.20144614577293396,0.0003,0.6123046875
274432,584.6185251300001,452,242.0,605,134,1330,0.20837814,0.0002684335218873457,0.2,0.9810289144515991,-0.1212458685040474,0.7754639623686671,-0.08494655555405188,0.19953075051307678,0.0003,0.626220703125
276480,585.5567584099999,453,242.0,609,135,1340,0.19890654,0.00024604400855423594,0.2,0.980307936668396,-0.10914011299610138,0.8211580207571387,-0.0784223543421831,0.1960243284702301,0.0003,0.609814453125
278528,586.58178758,454,242.0,613,136,1350,0.19828829,0.0002300599373938894,0.2,0.9812576174736023,-0.09929922968149185,0.900473077967763,-0.08448601583368145,0.19281499087810516,0.0003,0.620068359375
280576,586.8286127099999,454,242.0,616,137,1360,0.23438662,0.00028691117020116506,0.2,0.9800853729248047,-0.09603013098239899,0.9520308166742325,-0.08060465557209681,0.19044366478919983,0.0003,0.628759765625
282624,587.9494123499999,455,242.0,620,138,1370,0.22319812,0.0002309325211626856,0.2,0.9826510548591614,-0.11819950491189957,1.0083414906635881,-0.08121579300786834,0.18737369775772095,0.0003,0.634033203125
284672,589.2117413,456,242.0,623,139,1380,0.22426125,0.00017543573690090853,0.2,0.9872459173202515,-0.12289123982191086,1.069319985806942,-0.08479009795119055,0.18485938012599945,0.0003,0.63662109375
286720,590.28131262,457,242.0,627,140,1390,0.20970556,0.00016388596443448478,0.2,0.988732099533081,-0.12337495386600494,1.1329441908746958,-0.08217341620184015,0.18129947781562805,0.0003,0.624951171875
